Date,Clicks,Impressions,CTR,Position
2026-03-22,0,6,0%,78.7
2026-03-23,0,4,0%,81.5
2026-03-24,0,16,0%,64.6
2026-03-25,0,5,0%,56.2
2026-03-26,0,7,0%,60
2026-03-27,0,14,0%,55.6
2026-03-28,0,13,0%,52.2
